domain,url_or_mention_count
cryptography.io,3
daneden.me,3
developer.mozilla.org,3
digepres.gob.d,3
flagcdn.com,3
html.spec.whatwg.org,3
inespre.gob.do,3
ipython.readthedocs.io,3
jce.gob.do,3
link.springer.com,3
mail.python.org,3
maps.google.com,3
msdn.com,3
mujer.gob.do,3
one.gob.do,3
openpyxl.readthedocs.io,3
opensource.org,3
pillow.readthedocs.io,3
prousuario.gob.do,3
pymupdf.pro,3
sns.gob.do,3
support.sas.com,3
userway.org,3
www.ba,3
www.capgefi.gob.do,3
www.cazabon.com,3
www.conape.gob.do,3
www.dgii.gov.do,3
www.fedodim.org.do,3
www.fileformat.info,3
www.ikea.com,3
www.oreilly.com,3
www.pucmm.edu.do,3
www.saip.gob.do,3
www.stata.com,3
www.textualize.io,3
www.threads.com,3
...,2
127.0.0.1:8080,2
acentotv.acento.com.do,2
android.stackexchange.com,2
apisoftexpert.se,2
apisoftexpert.servicios.mit,2
appleid.apple.com,2
article.gmane.org,2
audios.acento.com.do,2
blogs.msdn.com,2
brew.sh,2
cdn.com.do,2
cdn.orquideassp.com,2
cdnjs,2
cdnjs.clou,2
cdnjs.cloudfla,2
chardet.feedparser.org,2
chimera.labs.oreilly.com,2
conadis.gob.do,2
confotur,2
confotur.mi,2
consulta.mitur.gob.do,2
corofit.com,2
cython.org,2
data.imf.org\,2
demo.pymupdf.io,2
developer.android.com,2
dgii.gov.do:80,2
dig,2
digecog.gob.do,2
digepr,2
digepres.gohttp:,2
domain.tld,2
dr_budget.abalancingact.com,2
drafts.csswg.org,2
en.wiktionary.org,2
erickt.github.io,2
events.timely.fun,2
ewbi.blogs.com,2
example.xom,2
freedesktop.org,2
fsf.org,2
gcc.gnu.org,2
geocoder.api.here.com,2
gikplus.com,2
git-scm.com,2
hdl.handle.net,2
hg.mozilla.org,2
host.name,2
httpwg.org,2
hypothesis.readthedocs.io,2
lenouvelliste.com,2
localhost:3128,2
lxr.mozilla.org,2
maps.googleapis.com,2
matplotlib.org,2
metacpan.org,2
msng.link,2
msp.gob.do,2
myrepo,2
ogtic.gob.do,2
onelink.to,2
opensource.adobe.com,2
openweathermap.org,2
plenamar.do,2
poletikard.com,2
projects.scipy.org,2
proxy,2
pubs.opengroup.org,2
pymupdf.io,2
pypdf.readthedocs.io,2
refspecs.linuxfoundation.org,2
reverse.geocoder.api.here.com,2
sdk.mrf.io,2
serviciosrd.gob.do,2
siuben.gob.do,2
sourceware.org,2
specifications.freedesktop.org,2
spider.wadsworth.org,2
startbigthinksmall.wordpress.com,2
static.docs.arm.com,2
support.microsoft.com,2
technet.microsoft.com,2
telegram.me,2
test.pypi.org,2
trendshift.io,2
uasd.edu.do,2
upload.pypi.org,2
user:pass@web.com,2
username:password@host.com:80,2
web.com,2
web.com:80,2
whatsapp.com,2
wheel.readthedocs.io,2
wvware.sourceforge.net,2
www.aduanas.gob.do,2
www.banrep.gov.co,2
www.ciprosrd.org,2
www.cmspara.com,2
www.cnri.reston.va.us,2
www.cwi.nl,2
www.freedesktop.org,2
www.frontaly.com,2
www.google-ananlytics.com,2
www.ietf.org,2
www.in-ulm.de,2
www.inaipi.gob.do,2
www.mapquestapi.com,2
www.microsoft.com,2
www.ogm.com.do,2
www.opensource.org,2
www.pyopenssl.org,2
www.pythonlabs.com,2
www.pythonware.com,2
www.red-dove.com,2
www.revestida.com,2
www.rfc-editor.org,2
www.scipy.org,2
www.swig.org,2
www.web,2
www.willmcgugan.com,2
www.zope.com,2
yahoo.com,2
youtu.be,2
{url},2
%s%s,1
``,1
a.c,1
a.d,1
accounts.google.com,1
acento.us17.list-manage.com,1
admin.servicios.mitur.gob.do,1
agencyorquidea.com,1
agricultura.gob.do,1
ajax.googleapis.com,1
ambiente.gob.do,1
anmepro.org,1
api.jqueryui.com,1
api.open-meteo.com,1
api.openrouteservice.o,1
api.what3words.com,1
"apim.dgii.gov.do,https:",1
apis.sb.gob.do,1
apisoftexp,1
apisoftexpert.servicio,1
apisoftexpert.servicios.mitur.g,1
archive.org,1
aulacentral.edu.do,1
aws.amazon.com,1
"ayuda.dgii.gov.do,https:",1
ayuntamientosde.gob.do,1
blog.ganssle.io,1
bugs.ghostscript.com,1
bugs.kde.org,1
caid.gob.do,1
cdn.addevent.com,1
cdn.by.wonderpush.com,1
cdndeportes.com.do,1
cdnradio.com.do,1
cemadoja.gob.do,1
certify-js.alexametrics.com,1
certify.alexametrics.com,1
clima-ivory-iota.vercel.app,1
coaarom.gob.do,1
collaboration.cmc.ec.gc.ca,1
confotu,1
consent.cookiebot.com,1
cors-anywhere.herokuapp.com,1
cran.r-project.org,1
data.iana.org,1
deultimominuto.net,1
dev.w3.org,1
developers.google.com,1
df.nearvana.do,1
"dgii.gov.do,http:",1
diecom.gob.do,1
digepres.g,1
digepres.go,1
digg.com,1
digitalassets.lib.berkeley.edu,1
discuss.python.org,1
dmlc.github.io,1
docs.bodo.ai,1
docs.oasis-open.org,1
docs.oracle.com,1
docs.pdfsharp.net,1
docs.pytest.org,1
documentation.sas.com,1
dotcolon.net,1
download.macromedia.com,1
druid.io,1
drupal.org,1
dspace.cc.tut.fi,1
edge-platform.sitecorecloud.io,1
elcaribe.com.do,1
en.wikibooks.org,1
en.wikiversity.org,1
"enevirtual.one.gob.do,https:",1
erp.ucateba.edu.do,1
example-site.com,1
example.com\x1b\\this,1
example.com\x5ctext,1
exiv2.org,1
exslt.org,1
extend.vimeocdn.com,1
fake.abc.web,1
fileserver.servicios.mitur.gob.do,1
filesystem-spec.readthedocs.io,1
flower-ads.com,1
force-color.org,1
forum.mupdf.com,1
frexx.de,1
gdc-v1-as-prd-usnc.azureweb,1
gdc-v1-as-prd-usnc.azurewebsit,1
getpocket.com,1
go.worldbank.org,1
greatplacetowork-cayc.com,1
huggingface.co,1
hynek.me,1
identidad.servicios.mitur.gob.do,1
ie7-js.googlecode.com,1
indocal.gob.do,1
indotel.gob.do,1
instant.page,1
ipython.org,1
issues.apache.org,1
j3-fortran.org,1
jquery.org,1
jqueryui.com,1
jsc.mgid.com,1
juventud.gob.do,1
l,1
localhost:5000,1
mathiasbynens.be,1
mathworld.wolfram.com,1
medium.com,1
mescyt.gob.do,1
micm.gob.do,1
ministeriodeeducacion.gob.do,1
mirex.gob.do,1
multimedia.noticiasin.com,1
multimediosdelcaribe.com.do,1
mypy-lang.org,1
mypyc.readthedocs.io,1
mysite.verizon.net,1
news.google.com,1
numba.discourse.group,1
numba.readthedocs.io,1
numexpr.readthedocs.io,1
"one.gob.do,http:",1
open.spotify.com,1
optimized-einsum.readthedocs.io,1
pagead2.googlesyndication.com,1
pandas,1
parquet.apache.org,1
pds-rings.seti.org:443,1
peak.telecommunity.com,1
people.eecs.berkeley.edu,1
pepy.tech,1
personal.math.ubc.ca,1
pip.one.go,1
platform-api.sharethis.com,1
poderjudicial.gob.do,1
portal.caasd.gob.do,1
presbrey.mit.edu,1
presidencia.gob.do,1
propeep.gob.do,1
publib.boulder.ibm.com,1
pv.github.io,1
pyinstaller.readthedocs.io,1
pyos.github.io,1
pyperclip.readthedocs.io,1
pypi.python.org,1
randomascii.wordpress.com,1
rdf.data-vocabulary.org,1
record.acento.com.do,1
record.com.do,1
revistapandora.com.do,1
rum-static.pingdom.net,1
savannah.nongnu.org,1
"sb.gob.do,https:",1
scipy-cookbook.readthedocs.io,1
scipy.org,1
script.crazyegg.com,1
servicios.mitur.gob,1
sit.mitur.gob.do,1
specs.frictionlessdata.io,1
ssl,1
stackverflow.com,1
static.pepy.tech,1
static.videoo.tv,1
stats.wp.com,1
sweetalert2.github.io,1
tss,1
tss.g,1
unicode.org,1
uteco.edu.do,1
w3c.github.io,1
web.whatsapp.com,1
wiki.mozilla.org,1
winprotocoldoc.blob.core.windows.net,1
wordpress.org,1
ww_winreg.jsiinc.com,1
www.311.gob.do,1
www.adess.gob.do,1
www.aiim.org,1
www.ams.org,1
www.arssenasa.gob.do,1
www.artifex.com,1
www.ats.ucla.edu,1
www.ban,1
www.bancen,1
www.bancentral,1
www.bdi.com.do,1
www.cepal.org,1
www.cl.cam.ac.uk,1
www.clarity.ms,1
www.cms.gov,1
www.coe.gob.do,1
www.consejotransparencia.cl,1
www.delicious.com,1
www.digicamsoft.com,1
www.edu.tw:81,1
www.egenix.com,1
www.elcar,1
www.flipcode.com,1
www.freebsd.org,1
www.gmarts.org,1
www.google-analytics.com,1
www.googleta,1
www.googletagservices.com,1
www.graficaobscura.com,1
www.hueyigroup.com,1
www.iana.org,1
www.icefi.org,1
www.inapa.gob.do,1
www.incart.gob.do,1
www.intc.com,1
www.intec.edu.do,1
www.littlecms.com,1
www.mathworks.com,1
www.matthewflickinger.com,1
www.mia.uni-saarland.de,1
www.mitur.gob.do,1
www.mozilla.org,1
www.on,1
www.openblas.net,1
www.opm.gov,1
www.paho.org,1
www.policianacional.gob.do,1
www.ryanjuckett.com,1
www.sisalri,1
www.spglobal.com,1
www.ssllabs.com,1
www.statsmodels.org,1
www.stumbleupon.com,1
www.superate.gob.do,1
www.thetopsites.net,1
www.tondering.dk,1
www.unicef.org,1
www.xfa.org,1
www.xyz.edu,1
www\.bancentral\.gov\.do,1
wwwn.cdc.gov,1
xarray.pydata.org,1
xlrd.readthedocs.io,1
yahoo.brand.edgar-online.com,1
{host}:{port,1
